Code,forPNG,Latin name,Morphotyper,CodeMJ,Subfamily,Description,Note
CREM 017,FALSE,Crematogaster sp. 17,,,Myrmicinae,"queen of some CREM, unknown species, (close to CREM 003 Q - but much larger and differences on petiolus, not sure if polita or Q of diff. sp.)",
CREM 018,TRUE,"Crematogaster obnigra Mann, 1919",,,Myrmicinae,"Sibling of CREM 016, but  propodeal spines almost missing!, blackish color of the whole body, tiny dots on the sides of mesothorax and propodeum (smooth prothorax and head)",very good fit antweb photos
CREM 019,FALSE,Crematogaster sp. 19,Petr,,Myrmicinae,"four spines on thorax as in CREM005 but whole body and head softly punctated, also spines a bit longer",M. Leponce 1200m
CREM 020,FALSE,"Crematogaster meijerei Emery, 1911",Petr,,Myrmicinae,"entirely black sp., larger size- between Cr.major/irritabilis and polita (003 x 014), spines slightly shorter than Cr. major but smooth head as in polita without any lines","M. Leponce 1200m, it fits very well with type photos of meijerei"
CREM 021,FALSE,Crematogaster sp. 21 aff. polita,Petr 2014/11,,Myrmicinae,"from Yawan, only badly damaged indiv. available, looks very simialr to polita but less hairy and spines looks a bit more curved down, head shape also littler bit diff. (but diff. slight)",Yawan
CREM 022,FALSE,Crematogaster sp. 22 aff. flavitarsis,Petr 2015/03,,Myrmicinae,"resembles sp.5: four spines and hearth shaped broad petiulus from dorsal view BUT shorter spines and smooth frons (only lines bellow eyes), dotty dorsum of thorax","Mt.Wilhelm, 1200 m"
CREM 023,FALSE,"Crematogaster tetracantha Emery, 1887",Petr 2018/06,,Myrmicinae,"bigger crem with four spines (size as sp. 14 - cca 3 mm), but 4 spines on thorax, smooth shiny head and thorax, petiolus heartshaped from above as sp. 4., darker abd and head but orange brown thorax with much longer 4 spines than sp. 4/21",Exxon lowlands
CREM 024,FALSE,"Crematogaster cf. major Donisthorpe, 1941",Petr 2019/06,,Myrmicinae,"color and appearance as C. polita - brown with darker brown abd., but bigger (size of sp. 20 meijerei), spines longer and lines deaper as in sp. 14  (but body smaller and lighter than irritabilis and spines not so bended down), it has also lines on the head but those do not go above eyes as in sp. 14 irritabilis (while polita and meijerei got both smooth head).",Exxon lowlands 6A / antwiki type of CXr. major very close to this spc (just our specimens a bit smaller in size)
CREM 025,FALSE,Crematogaster sp. 25,Pavel 2021/02,,Myrmicinae,"Yellow four spine species with black abdomen, smootth glossz frons and sides of thorax","Numba, secondary forest (singleton)"
CREM 026,FALSE,Crematogaster sp. 26,Phil 2021,,Myrmicinae,"small dark brown species, body surface having very few standing hairs and no sculpture excpet a few lines bellow eyes (shining cuticle), and short sparse pubescens, unique petiolar shape with relatively broad shape and sharp postpetiolar corners all visible well from dorsal view",Numba
CRYP 001,FALSE,Cryptopone sp. 1,Justine,,Ponerinae,"new genus for coll, resembles a small Ponera without any eyes, difficult to say the species, similar to C. testacea et al. sp. with no eyes visible and brownish color",
CRYP 002,FALSE,Cryptoptopone sp. 2,Petr 2015/05,,Ponerinae,"much larger and darker than sp. 1, well visible pit at mandible margin.","Jimmy Mosses, 200 m"
DACE 001,FALSE,"Dacetinops cibdelus Brown and Wilson, 1957",Petr 2017/07,,Myrmicinae,"dark brown, small sp. reminds Strumigenys (Pyramica) but long rectangular petiolus/postpetiolus with lines and 11-segm antens, rectangle shape head, small eyes bellow antennal sockets, x ignotus sharp propodeal corners present but not really spines as D. cibdelus which is this species",
DIAC 001,TRUE,"Diacamma rugosum (Le Guillou, 1842)",,DIAC 001,Ponerinae,"fits well with picture, linings on first half of abdominal segment, rest of abdomen is smooth, red legs",
DILO 001,FALSE,"Dilobocondyla cataulacoidea (Stitz, 1911)",,?,Myrmicinae,"-BEFORE AS PODO 005!-rather small red brown Podomyrma, thorax without spines but very sculptured, spiny uppper corners of the head and spine bellow petiolus",
DISC 001,FALSE,Discothyrea sp. 1,Nic,,Proceratiinae,Clubbed antennae and petiole v close to gaster.,
ECHI 001,FALSE,"Echinopla sp. 1 aff. australis Forel, 1901",,?,Formicinae,"rather small black resembling POLY, no spines on thorax but very different petiolus - from above view it is fan-shaped with 4 spines on each side, very hairy species / robust hairy species with not apparent median groove on thorax (lateral and dorsal view), on antweb close by shape off upper thorax having missing groove and white hars to crenulata but by eye size adn color to australis, as lighter append. (not black) and thorax from above has deeper angle in the middle of the thorax than crenulata species. Compared to australis and sp. 2 and 6 this species has less apparent metanota groove only at lateral-dorsal margin but in the middle of dorsum the groove is missing!","Rudy: close to australis, but shorter and broader thorax and darker legs than Queensland sp. (but according antweb missign median thorax grove and much closer to crenulata - changed name in 2021)"
ECHI 002,FALSE,"Echinopla sp. 2 aff. australis Forel, 1901",,?,Formicinae,"a bit smaller than ECHI 001- less robust thorax, not light but black legs, less light-hairy and dotty, different petiolus: has also other tiny spines up! / after exploring antweb photos this sp. and sp. 6 closest to E. australis on antweb but with some differences (this species has more narrow and oval head than australis),  Black antenas with lighter tip of last segment of the club",
ECHI 003,TRUE,"Echinopla octodentata Stitz, 1911",Petr 2015/03,?,Formicinae,"very similar to sp. 1 (size, thorax, head, hairing and punctation) but head much broader shipe and les hairy, petiolus has only three spines on each side from dorsal view whith top one rather same size or shorter than the second one (in sp. 1 the first spine is longer) = from  side view no spine from lateral-side of petiolus thus protruding the view up, appendiges light brown or brown but never really dark / great fit on antweb with octodentata (queen looks as maeandrina which might be thus not valid spp.!)","NUMBA, to yet send photos to Rudy"
ECHI 004,FALSE,"Echinopla sp. 4 aff. mistura (Smith F., 1860) sp.n.",Petr 2015/03,?,Formicinae,"very strange Echinopla without hairs and glossy black body forming a plate in thorax and abdomen from above, compare to mistura from Borneo it got clear side spines on petiolus and suturae visible on sides of thorax. head and sculpture remainds also E. mezgerii 2015 but has no dorsal sutura and has quadrishaped petiolus as mistura!","NUMBA, to yet send photos to Rudy"
ECHI 005,FALSE,"Echinopla sp. 5 aff. mistura (Smith F., 1860) sp.n.",Petr 2015/03,?,Formicinae,"yet closer to mistura than sp. 004 (does not have apparent spines on sides of petiolus from dorsal view and blackish), it is more glossy than mistura anbd has again also suturae on sides of thorax.","NUMBA, to yet send photos to Rudy"
ECHI 006,FALSE,"Echinopla cf. australis Forel, 1901",Pavel 2021/03,,Formicinae,"simillar to ECHI002 but less hairy and more broad and not oval head, when compared directly this species more robust thorax and head and overally a bit larger than sp. 2. Yellow coxa and tibia (or lighter than rest of legs if darker), femur is black. Black antenas with lighter tip of last segment of the club, this species quite also variable in leg color and hairing of abdomen (some workers short golden hairing over dorsum of abomen, some not these hairs, but probably all one species), closest to australis according antweb images",
ECHI 007,FALSE,Echinopla sp. 7 aff. 4,Phil 2021,,Formicinae,"singleton queen + one without head so far. Hairless but not shiny like ECHI 004, coxae light and dorsal surface of petiole no spines visible",Numba
EURH 001,FALSE,"Eurhopalothrix biroi (Szabó, 1910)",Petr 2015/04,,Myrmicinae,"resembles Pyramica (Strumigenys) but eyes above carina and widened scapus, this sp. very short prop. spines (corners only) and characteristic yellow spots on head (upperč frons) end of abdomen, upper petiolus and coxas, very dark color (alkmost black) with whitish hairs",
EURH 002,FALSE,Eurhopalothrix brevicornis Emery 1897,Petr 2015/04,,Myrmicinae,"ligher color (brown) and much less of widened hairs, which are mostly lacking (only sparsely and ranomly distributed on head and abd.), different clypeus and head hairing by small setae reminding light dots over head, prop. spines short but sharp and well visible from sides and above (x E. papuana)",
FORAGING,FALSE,x,,x,,unidentified sample of foraging ant individuals,
FORE 001,FALSE,Camponotus (Forelophilus) sp. 1,Petr 2016/01,,Formicinae,"weird Formicinae resembleing a small Camp, small, black, hairy, two relatively large and thick porpodeal spines (!) and petiolus thin and with two small denticles at its dorsum, 12 segm. antens (P.Ward 2016 changes the genus to subgenus within Camponotus, but kept FORE code for darabasing in ours)","closest fit to Stigmacros (Australia), but does not fit with any available photos on Antweb to 2016/01 and Stigmacros should have 11 segm. antens, by thorax and head/antens resembles Forelophilus but much larger prop.spines than described species"
GNAM 001,FALSE,"Strictoponera (=Gnamptogenys) macretes Brown, 1958",Justine,,Ectatomminae,"a bit similar to Rhytidoponera, but smaller size and rather shallow pits than lining sculpture on the surface and larger eyes, not deep division of pronotal sutura and spines in hind coxa, close to sp.1 but smaller size, and bellow petiolus it has no apparent spine at the middle, deeper pits on head and thorax and smoother petiolus, lines on frons / great match with antweb P.Ward spc. / compared to sp. 3 lineation over both parts of abdomen with more numerous lines and less deep and less numerous pits",Justine
GNAM 002,FALSE,"Strictoponera (=Gnamptogenys) niuguinensis Lattke, 2004",Justine,,Ectatomminae,"larger than sp. 1, body looks a bit smoother with less deep pits, no direct lines on the frons and concave posterior end of head, rugolose petiolus, less deep lines on abdomen, a spine bellow middle of the petiolus - great match with antweb photos",Justine
GNAM 003,FALSE,"Strictoponera (=Gnamptogenys) grammodes Brown, 1985",Petr 2021/07,,Ectatomminae,"sibling of sp. 1 but less liny abdomen with no lines over posterior abdominal segment, and rather deep pits over the abdomen",Numba
---HYPO 001,FALSE,Hypoponera sp. 1,,?,Ponerinae,see PACH 006,could be actually Pachycondyla in MJ coll.  (spine not well visible)
HYPO 002,TRUE,"Hypoponera cf. confinis Roger, 1860",,?,Ponerinae,"small light brown and much maller than sp. 3, very tiny eyes of only about 3-4 ommatidia (looks almost as single ommatidium), part of thorax in even position, light append., scapus shorter than distance to head margin","very small sp., match well with photos on antweb and in our database, but is a bit darker than in photos"
HYPO 003,TRUE,"Hypoponera sabrone Donisthorpe, 1941",,?,Ponerinae,"medium dark-brown ponerinae, reminds PACHY006 (thorax shape, colour) but small hairs over whole body (including propodeum), propodeal area more rounded in side view, eyes smaller than PACH006 but with much more ommatidia than other HYPO (~3x3), scapus of similar lengths as distance to head margin and broadened head","match well photos in our database, colour, petiolus, eyes, thorax atc. same, + also similar specimens from Numba/Justine in 700 and 1200 m but with a bit less concave/broad and less hairy head (to confirm by DNA if really the same sp.)"
HYPO 004,TRUE,Hypoponera sp. 4,Nic,,Ponerinae,"Hairy frontal lobes, fine hairs all over with some stiff hairs on petiole, cf. sp. 2 but thinner petiolus and longer scapus than head margin, very narrow head with eyes of 4 ommatidia (small but well visible distinction)",Yawan
HYPO 005,FALSE,Hypoponera sp. 5 aff. sp. 3,Petr 2015/04,,Ponerinae,"damaged singleton, high elevation, shiny and very black and less hairy, drop-shaped rounded head from frontal view (difficult to tell if the same as the Yawan sp. 4, probably unlikely so kept separate sp.), eyes small but n of ommatidia as sp. 3 (Numba-could be as HYPO003 Numba)","Jimmy Mosses, 1700 m"
HYPO 006,FALSE,Hypoponera sp. 6 aff. sp. 3,Petr 2015/04,,Ponerinae,"size of  HYPO003 x sharper/larger corner in front of petiolar sides compare to other Hypo and eyes size small  (3 ommatidia). compare to sp. 4/5 scapus are shorter (not extending head marging), glossz and smooth upper propodeum from lateral view but lines over its lower part close to spiracle","Jimmy Mosses, 2200 m"
HYPO 007,FALSE,Hypoponera sp. 6 aff. sp. 3,Petr 2015/04,,Ponerinae,"very close to HYPO003 = a broader head shape with hairs, but eyes 4 ommatidia only (less, but more than Hypo002), and smaller body size and more even thorax","Jimmy Mosses, 700 m"
HYPO 008,FALSE,Hypoponera sp. 8,Pavel 2020/1,,Ponerinae,"larger than sp. 2 - size of Hypo005, also similar petiolus with sharp adge in front in lateral view as sp. 5, but scapus light and shorter than head margin (x sp. 5 -7], only very tiny 1-2 omattidium as in sp. 2 and 7, propodeum bellow spiracle is not liny.","Winklers, Wanang"
IRID 001,FALSE,Iridomyrmex sp. 1,Petr 2018/06,,Dolichoderinae,"larger slender ant with longer legs and scapus reminding Anonychomyrma sp. 15, but clypeus with sharp angles in frontal margin, dark brown color, eyes much larger than Anon. and placed more in the middle of the head (eyes however smaller compared to all IRID species on antwiki for NG, so probably a novel for NG)",exxon lowlands
IRID 002,FALSE,"Iridomyrmex pallidus Forel, 1901",Petr 2022/11,,Dolichoderinae,"reminds Phildris by yellow brown annd/or organge color,but much larger eyes placed more in middle of the head, mid thorax more slendish as in some Anonychomyrma",Baiteta
LEPG 001,FALSE,"Leptogenys cf. nitens Donisthorpe, 1943",Petr 2015/04,,Ponerinae,"black with soft lines on sides fo thorax and on head, large eyes, petiolus and prothorax smooth and glossy, very close to P.nitens (median ridge on clypeus and petiolus), but not sure by ID as lines on head and thorax little bit softer","Jimmy Mosses, 700 m"
LEPG 002,FALSE,"Leptogenys breviceps Viehmeyer, 1914",Petr 2015/04,,Ponerinae,"dark brown, wide head with small eyes, unusual petiolus for Leptogenys of narrower and pointed shape (not wide and quadrishaped), smooth body and head","Jimmy Mosses, 200 m"
LEPG 003,FALSE,"Leptogenys drepanon Wilson, 1958",Petr 2015/04,,Ponerinae,"wider petiolus than sp.1 and smooth head, rugolose sides of thorax and few dots on glossy petiolus, very good fit with photos in both antweb and newguineants (however note that  L. papuana also very close to drepanon  but that got smoother sides of thorax)","Jimmy Mosses, 1700 m"
LEPG 004,TRUE,"Leptogenys sp. 4 aff. papuana Emery, 1897",Pavel 2020/03,,Ponerinae,"black, by shape of body and of (broad and rounded) petiolus closest to sp. 3 - but smaller, larger eyes, smooth sides of thorax except suturae, quite close to papuana who got smoother sides of thorax than drepanon, but compare to it looks also much smaller in size + sides of clypeus lack two sharp corners on its sides that are present in both drepanon and papuana",Wanang winklers
LEPG 005,FALSE,Leptogenys sp. 5,Pavel 2020/7,,Ponerinae,"Simillar to Leptogenys sp. 4 but about twice as large, petiolus is much longer and thinner, scalues thicker, and head with larger eyes and more dense short hairs from fronta view on head margins and clypeus","Wanang, pitfall trap"
LEPM 001,FALSE,"Leptomyrmex fragilis (Smith F., 1859)",Petr,?,Dolichoderinae,"large sp., yellow brown, long slender body, legs and head, dolichoderinae, almost no hairs (only on few on  vetral side of gaster near anus), compared to puberulus has eyes protruding head margins from frontal view and light abdomen (however in some specimens/populatiuns sides of throax can be a bit darker lateraly according Antweb photos)",fit very well with photos and revision in Lucky and Ward 2010.
LEPM 002,TRUE,"Leptomyrmex flavitarsus (Smith, F., 1859)",Petr,?,Dolichoderinae,"black brown except of light tarsus which are sort of lighter, no apparent hairs on thorax as sp. 1 but abdomen got more hairs lateraly and ventraly, head is less narrow and more rounded with eyes not abrupting head margin compared to sp. 1","Maurice Leponce, 700 a.s.l. (Mt. Wilhelm transect), 1 indiv. in ethanol"
LEPM 003,FALSE,"Leptomyrmex puberulus Wheeler, 1934",Petr 2019/06,,Dolichoderinae,"very close to sp. 1 but consistently rather brown color with only tarsi and antens light, and abdomen darker brown, morphological fit otherwise to sp. 1 (less dark than sp. 2 and head and hairs as in sp. 1), scapus is usually lighter as in sp. 1, never dark as in sp. 3, likely L. puberelus (good fit in Antweb)",Exxon lowlands - 6A
LORD 001,FALSE,Lordomyrma sp. 1,,,Myrmicinae,"tiny red brown, propodeal spines and tiny spines on prothorax as well as on petiolus, very deep antennal grooves, mistaken with Mayriella but probably ""strange little"" Lordomyrma with 11 ant.segments, similir sp. type as Lordo003 in Phillipines photos",should be confirmed if Lordomyrma!-according R.Taylor these like specimens shoudl be separate from Lordomyrma to Lasiomyrmex genus (established as new in 200 by Yamane)
LORD 002,FALSE,Lordomyrma sp. 2,Petr 2015/03,?,Myrmicinae,"similar to Pheidole with 2 prop. spines, .2.5 mm dark brown, smooth body and head without carinae, petiolus broadened from above view and with spiny corners lateraly, resmebles Lordomyrma but does not fit with no known species in databases online","Numba, should be confirmed if Lordomyrma!"
LORD 003,FALSE,"Lordomyrma cryptocera Emery, 1897",Petr 2015/03,?,Myrmicinae,"close to LORDO002 from Numba but having single spine pointed petiolus and sharp angle in mesothorax, 2 indiv. from 700m, very good fit to L.cryptocera from antweb","Jimmy, Mt.Wilhelm 700m"
LORD 004,FALSE,"Lordomyrma furcifera   Emery, 1897",Petr 2015/03,?,Myrmicinae,"close to LORDO003 but longer spines and lines on petiolus, good fit with furcifira on antweb (crawley looks also like this one but got spines going much more lateraly=sibling sp.)","Jimmy, Mt.Wilhelm 700m"
LORD 005,FALSE,Lordomyrma sp. 5,,,Myrmicinae,"black medium sized Lordomyrma with deep lines all over the head and body and sharpened petiolus, plus sharp corners on mesoth., deep anten. depressions","Jimmy, Mt.Wilhelm 700m"
---LORD 006,FALSE,Lordomyrma sp. 6 = MAYR 001,,,Myrmicinae,tiny yellow ant similar to LORD001 and less haity but completely smooth with shorter spines,"Jimmy, Mt.Wilhelm 200m"
LORD 007,TRUE,Lordomyrma sp. 7,Petr 2015/07,,Myrmicinae,"close to sp.2 but no spines and corners on petiolus, also sharp corners on prothorax, reminds Lordo but not typical (DNA?)",Yawan
LORD 008,FALSE,Lordomyrma sp. 8,Justine,,Myrmicinae,"closest to LORD005 but less deep lines all over body and rounded petiolus, smooth frons except few lines near eyes","UNKNJJ4, 700 m /  found also in Exxon and very similar to Madang prov. (but we have only photo of Brussels coll.)"
LORD 009,FALSE,Lordomyrma sp. 9,Justine,,Myrmicinae,"closest to LORD002 but com pletely smooth and rounded thorax from site view with no depression, prothorax less wide and without sharp angles from dorsal view","UNKNJJ6, 700 m"
LORD 010,TRUE,"Lordomyrma (""Lasiomyrma"") sp. 10",Petr 2015/03,,Myrmicinae,"resembles PHEI sp.18/51 (dotty sp. with only short prop. spines), but double size, less fine punctation and very different clypeus shape sharpened in  the middle, larger Lordomyrma-kind petiolus but 11 segm. antens (not 12-segm.), * On antweb fits with Lasiomyrma (novel genus for PNG but will be probably synonimesed to Lordomyrma - vague genus, kept as LORD for database).",NUMBA
LORD 011,FALSE,"Lordomyrma (""Lasiomyrma"") sp. 11",Petr 2019/08,,Myrmicinae,"similar to the the ""Lasiomyrma""  from Numba but larger body size and smooth part of fronta thorax","MT. Wilhelm M. Leponce, 1700 m"
LORD 012,FALSE,Lordomyrma sp. 12 aff. sp. 5,Petr 2019/08,,Myrmicinae,"larger body size and lines over abdomen compared to sp. 5, lighter color of legs, otherwise very similar to this sp. (lines over head and scrobes, sharp notch before prop. spines)","Exxon, mid elev. 3A"
LORD 013,FALSE,Lordomyrma crawleyi,Petr 2020/03,,Myrmicinae,"Lordomyrma with no deep lines (smooth) and long prop.spines, very similar to sp. 4 but postpetiolus got small spine dorsally! (not rounded dorsum)","Winklers, Wanang"
LORD 014,FALSE,Lordomyrma sp. 14,Petr 2020/10,,Myrmicinae,"Lordomyrma resembling a bit Tetramorium (smooth carianas, and with wrinkled lines over head and thorax), petiolus pointed but not too sharp, by moprhology closest to sp. 5 how lack the smooth carians and has more pointed petiolus and lines rather straight","pitfall traps, Wanang"
MAYR 001,FALSE,"Mayriella sharpi Shattuck & Barnett, 2007",Petr 2015/09,,Myrmicinae,"former LORDO006, tiny looking small sp. close to LORDO001, but with shorter spines, no spines on petiolus, smooth yellow light body except of shallow pits on the head","Jimmy, Mt.Wilhelm 200m"
MERA 001,FALSE,"Meranoplus sp. 1 aff. astericus Donisthorpe, 1947",,?,Myrmicinae,"myrmicin with 4 pairs of spines! - first and second furcate, third small, forth just addit. Ridge close to the petiolus like at Tetram., red colour, 9 segmented antennas,  similar to M. astericus on antweb, but smooth head",
MERA 002,FALSE,"Meranoplus astericus Donisthorpe, 1947",Petr,?,Myrmicinae,"very close to sp. 001 but got lines over the head and frons, fits well with astericus on antweb but got darker colour",M. Leponce coll.
MONO 001,TRUE,"Monomorium floricola (Jerdon, 1851)",,wMONO 004,Myrmicinae,"low brown head, light brown body, darker abdomen and head, very small eyes and medium hair from clypeus, on antweb match very good with M. floricola specimen reported also from Irian, HP 0071-a bit ligher and bigger eyes, but not too sure is it another sp.",
MONO 002,TRUE,"Monomorium intrudens Smith F., 1894",,?,Myrmicinae,"blackbrown abdomen x yellow body and head, fit very well with antweb photos and material from Port Moresby town in ANIC Canberra",
MONO 003,FALSE,Monomorium sp. 3,,?,Myrmicinae,"lighter yellow body and darkbrown head and abdomen, more oval  head than floricila, less sculpturous - unclear what sp., likely native to PNG",
MONO 004,FALSE,Monomorium pharaonis (Linnaeus 1758),,?,Myrmicinae,M. pharaonis sp. complex according barcoding and morphology,
MONO 005,TRUE,"Monomorium sp. 5 aff. floricola (Jerdon, 1851)",,?,Myrmicinae,"very similar to M.floricola but lighter yellow body and head lighter brown (only abdomen dark as in floricola), eyes a bit larger with more visible ommatidia (3 clear rows), side of thorax smoother",
MONO 006,FALSE,"Chelaner sp. 6  aff. edentatum Emery, 1897",Petr 2014/02,?,Myrmicinae,"larger-bodied (3-4 mm) strange brown ant from ant plants from high elevation, not much resembling an Monomorium (median hair on clypeus short and little apparent), former Monomorium but placed as Chelaner genus based on phylogeny from 2019 in Invert. Systematics from Australia by Sparks et al., from edentatum differs by longer scapus, rather lines than dots on sides of propodeum, and a higher petiolus and by less lines bellow eyes",according communication with P.Ward and sequecning it turns out that it is species close to M. edentatum described from PNG
MONO 007,FALSE,"Trichomyrmex destructor (Jerdon, 1851)",Petr 2017/07,,Myrmicinae,"very similar to Monomorium (formally now dif.. genus), reminds M. pharaonis (sp. 4), diff. x shorter scapus than head margin and darker abd., no finy dots on the head and",
MONO 008,FALSE,"Chelaner gilberti (Forel, 1902)",Petr 2021/05,,Myrmicinae,"a large Monomorium, close to sp 6 ""edentatum"" but redish thorax and petiolus, well apparent medium noth with hair, head and abdomen darke) / by new phylogeny Chelaner subgenus is raised to genus but kept as MONO code for database purpose for consistency",Numba
MYOP 001,FALSE,"Myopias cribriceps Emery, 1901",Petr 2014/11,,Ponerinae,"medium ponerinae resembling Cerapachys but larger with long mandibles and well sep. petiolus from abd., this sp. brown with ligher append., dots on the head, rest of the body rather smooth, mandibles with a teeth in the middle and two short sharp corners (not long) in front - good fit with photos of cribriceps on Newguineants and antweb",Yawan
MYOP 002,FALSE,Myopias sp. 2,Petr 2015/03,,Ponerinae,cl.ose to sp.1 but completely smooth including head (no dots or lines),"Jimmy Mosses, 1200 m"
MYOP 003,FALSE,"Myopias cf. delta Willey & Brown, 1983",Petr 2016/01,,Ponerinae,"small brown Myopias with relatively shorter mandibles almost touching clypeal projection and tiny eyes (compare to others), several tiny and not sharp teeth on mandibles, right-angled rear of petiolus from later.view, hairy and smooth body, match well with ant web except of somewhat more rounded front of clypeal projection (not quadrishaped)",Numba
MYOP 004,FALSE,"Myopias tenuis (Emery, 1900)",Justine,,Ponerinae,"similar to Myop 003 (smaller body and light brown, tiny eyes) but flatter thorax and very long thin mandibles (far from clypeal projection), very similar sp. also found in Wanang but a bit darker and top of head not concave (not sure if variability wihtin sp. or two species, *for now regarded one sp.)","Justine Jacquemin, 700 m asl. and Wanang Winklers"
MYRM 001,FALSE,"Myrmecina transversa Emery, 1897",,no match,Myrmicinae,"dark black, deep rippling sculptures around all body, medium spines on back thorax, deep line strips also bellow eyes and transverse lines on pronotum (very good match with M. transversa type on antweb)",Wanang
MYRM 002,FALSE,"Myrmecina cf. brevicornis Emery, 1897",,,Myrmicinae,"close to sp.1 but smaller size and  dorsal lines going longitudaly, smooth patch bellwo eye, shorter scapus compare sp. 3 (do not reach head margin)/ relatively very good match with sp. on ant web except of darker apendages","Jimmy Mosses, 1200 m"
MYRM 003,TRUE,"Myrmecina mandibularis Viehmeyer, 1914",Petr 2015/06,,Myrmicinae,"size if sp. 1 but dorsal lines going longitudinaly as in sp. 2 and light brown legs and antens compare to sp.1 and sp.2, longer scapus and larger body than sp. 2 / good match with type photos of mandibularis (color, lines, size, scapus)",Numba
MYRM 004,TRUE,Myrmecina sp.4,Petr 2021,,Myrmicinae,"unusual Myrmecina by reminding Lordo sp. 2 gr., but clypeus shape and petiolar shape with anteroposterior lines fit all Myrm genus, smooth head with ridge but no depression above or below eyes, thorax and petiolus and postpetiolus lined deeply, short scapus, top of petiolus got small spine as in some Lord but rather short",Numba
NOCODE,FALSE,x,,x,,unidentified samples-nests etc.,
OCHE 001,FALSE,"Ochetellus epinotalis (Viehmeyer, 1914)",Petr 2019/02,,Dolichoderinae,"black small species resembling Anonychomyrma, has higher propodeum and by this it resembles also Turneria (but eyes are small), propodeum rear is concave","Exxon 1000 m, 3A (but in restoration can go above 2000 m)"
ODON 001,FALSE,"Odontomachus simillimus Smith F., 1858",,?,Ponerinae,"fit well with PNG O. simillimus and antweb, rather smaller size for Odontomachus (less than 1 cm), dark color incl. append., shorter mandibles with blunt teeth, deep lines on petiolus and thorax ( x sp. 9 cephalotes with which it might be confused, it has shorter mandibles, lacks lines on adbomen and smooth antennal sockets)",very good fit with photos on both antweb and MCZ
ODON 002,FALSE,"Odontomachus testaceus Emery, 1897",,?,Ponerinae,"very big orange light brown sp. (over 2 cm!), long mandibules with long sharp pairs of teeth in mandibles, head smooth except lines among eyes, lines on upper thorax",very good fit with photos on both antweb and MCZ
ODON 003,FALSE,"Odontomachus sp. 3 cf. papuanus Emery, 1887",Petr,,Ponerinae,"close to ODON 002, but much smaller size (around 1cm) and color somewhat darker with lighter legs than brown body and petiolus, teeths on the mandibles less long, front of head more liny and top of the head less curved, closest match on antweb is papuanus (altough note type has even darker body and head)",M. Leponce coll.
ODON 004,FALSE,"Odontomachus papuanus Emery, 1887",Justine,?,Ponerinae,"close to sp. 003 but darker brown colour with light yellow/orangecoxas (*petiolus also lighter or some individuals can have however petiolus brown as body), the main difference is softer and circular lining on prothorax from dorsal view and accessory teeths behind the frontal longer ones are of rather variable/small length (not two-three longer small teeth as in sp. 003) and petiolus is less narrow from dorsal view than in sp. 3",Justine (Brussel coll.) and Jimmy Mt. Wilhelm
ODON 005,FALSE,"Odontomachus tyrannicus Smith, 1859",Jerome,?,Ponerinae,"cf. testaceus (sp.2), giant sp. with long mandibles with two long anterior teeths, main difference is distinct black body versus light brown/yellow color of abdomen and relatovely broad base of petiolus","J.Orivel, Ibisca 2012, 700 m"
ODON 006,FALSE,Odontomachus sp. 6,Petr 2015/03,?,Ponerinae,"smaller size (as sp. 1), rugolous body and petiolus (not smooth) with well developed long 3 teeth anteriorly on mandibles (middle one shorter), medium dark brown size with light append / no such species on antweb  or ng.ants!","Jimmy, Mt.Wilhelm, 1200 m"
ODON 007,FALSE,"Odontomachus cephalotes Smith, F., 1863",Petr 2018/08,,Ponerinae,"aff. Sp. 1 (less than 1cm). x soft lines on dorsum of abdomen (not glossy, needs lorge magnif. -not visible on photo), softer lines on thorax, lines in scrobes (in sp. 1 smooth scrobes), a bit longer and thinner mandibles and longer head than sp. 1, well visible two teeth at the end of mandibles, match to cephalotes on antweb",lowland exxon cluster 7A
ODON 008,FALSE,"Odontomachus cf. latissimus Viehmeyer, 1914",Petr 2018/08,,Ponerinae,"aff. Sp.004, slighlty larger (> 1 cm), darker color including petiolus, brown legs (not orange coxa as sp. 4), but somwhat lighter tibia (sp. 4 has tibia a bit darker than rest of the legs - contrast among the two)",lowland exxon cluster 7A
ODON 009,FALSE,"Odontomachus saevissimus Smith, 185",Petr 2018/10,,Ponerinae,"large sp. of size sp. 2 and 5 (2 cm), redish brown body, with somewhat darker (but not black) abdomen and head, soft lining on head (among eyes only) and thorax (upper parts only) and few also on petiolus, very long mandibles with very long apical teeth, compared to others has over body soft smal hairs, legs are lighter than body of  brown/ to organge color - closest is saevissimus on antweb (quite variable in color in types from lighter to dark brown indiv.) / * individuals from 3A have darker heads and lighter coxas compared to 7A, but morphology and lining the same (O. rufithorax at antweb is closer by color to 3A but has also lines in upper depressions on the head and thorax light as the legs)","Exxon lowlands, 7A"
OECO 001,TRUE,"Oecophylla smaragdina (Fabricius, 1775)",,OECO 001,Formicinae,Oecophylla - large yellow brown formicinae with slender body,
OREC 001,FALSE,"Orectognathus biroi Szavo, 1926",Justine,,Myrmicinae,"similar to Strumigenys but bigger in size, with long spines and only 5-segm.antens, dark brown head and thorax, light brown petiolus and gaster, petiolus very long and of very thin shape","Mt. Wilhelm, 1200 m."
